expedition,accession,family,genus,species_epithet,locality,date,latitude,longitude,elevation,county,location,locality_habitat,plant_description,RNA,historical,Photo notes,HUH,NYBG,KIB,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE20,Orobanchaceae,Pedicularis,siphonantha,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,Very long skinny corolla tubes.,,X,4:30-5:20,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE21,Orobanchaceae,Pedicularis,cyathophylla,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE22,Orobanchaceae,Pedicularis,rhinanthoides,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE23,Papaveraceae,Corydalis,sp.,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,X,,1,0,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE24,Orobanchaceae,Pedicularis,rupicola,6,7/8/2018,"28°35'9.1"" N","99°50'14"" E",4378,Xiangcheng,,Scree slope above meadow filled with primulas and Rhododendron thicket to side. Historical HUH site Yellow 4. ,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE25,Orobanchaceae,Pedicularis,dolichoglossa,7,7/8/2018,"28°35'38"" N","99°50'49"" E",4148,Xiangcheng,,Shrubby slope with Berberis. Historical HUH site Yellow 18.,Yellow with dark red mottling on galea and lips.,,X,5:25,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE26,Fabaceae,Tibetia,sp.,7,7/8/2018,"28°35'38"" N","99°50'49"" E",4148,Xiangcheng,,Shrubby slope with Berberis. Historical HUH site Yellow 18.,Light yellow flowers,,X,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE27,Orobanchaceae,Pedicularis,lachnoglossa,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,6-6:30,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE28,Orobanchaceae,Pedicularis,rudis,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE29,Fabaceae,Astragalus,sp.,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE30,Orobanchaceae,Pedicularis,kansuensis,8,7/8/2018,"28°37'02"" N","99°49'51"" E",4134,Xiangcheng,,Wet shrubby slope. Eaton site 1 from 2010.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE31,Orobanchaceae,Pedicularis,elwesii,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,6:38--,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE32,Orobanchaceae,Pedicularis,rhodotricha,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE33,Orobanchaceae,Pedicularis,kansuensis,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE34,Orobanchaceae,Pedicularis,ingens,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE35,Orobanchaceae,Pedicularis,lachnoglossa,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE36,Asteraceae,Saussurea,sp.,9,7/8/2018,"28°39'0.5"" N","99°50'01.2"" E",4137,Xiangcheng,,Shrubby wet meadow on Kobresia slope. Eaton site 2 from 2010.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE37,Orobanchaceae,Pedicularis,axillaris,10,7/8/2018,"28°43'48.4"" N","99°50'45"" E",3799,Xiangcheng,,,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE38,Orobanchaceae,Pedicularis,rex,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,,X,11:30-12:10,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE39,Orobanchaceae,Pedicularis,axillaris,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,"deep purple galea, light purple lower lips. Crawling habit. Growing on mossy slope.",,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE40,Orobanchaceae,Pedicularis,lachnoglossa,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE41,Lamiaceae,?,sp.,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,"Droopy purple flowers, bristly hairs on leaves and calyx.",,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE42,Lamiaceae,?,sp.,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,"Droopy white flowers, bristly hairs on leaves and calyx.",,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE43,Fabaceae,Tibetia,himalaica,11,7/9/2018,"29°8'28"" N","99°55'42"" E",3568,Xiangcheng,,Meadow w/ stream adjacent to pine forest. Historical HUH site Yellow 7.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE44,Orobanchaceae,Pedicularis,rhinanthoides,12,7/9/2018,"29°7'26"" N","99°59'48"" E",3950,Xiangcheng,Road from Xiangcheng to Sanduixiang.,"Wet meadow and forest edge. Rhododendrons, Larix. Historical HUH site Yellow 12.",,,X,12:50,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE45,Orobanchaceae,Pedicularis,siphonantha,12,7/9/2018,"29°7'26"" N","99°59'48"" E",3950,Xiangcheng,Road from Xiangcheng to Sanduixiang.,"Wet meadow and forest edge. Rhododendrons, Larix. Historical HUH site Yellow 12.",,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE46,Orobanchaceae,Pedicularis,integrifolia,13,7/9/2018,"29°6'30.6"" N","100°02'3.7"" E",4205,Xiangcheng,"Road from Xiangcheng to Sanduixiang. Above small village, Maxiong Ditch.",Scree slope and sedge meadow and adjacent Rhododendron thicket. Historical HUH site Yellow 3.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE47,Orobanchaceae,Pedicularis,lachnoglossa,13,7/9/2018,"29°6'30.6"" N","100°02'3.7"" E",4205,Xiangcheng,"Road from Xiangcheng to Sanduixiang. Above small village, Maxiong Ditch.",Scree slope and sedge meadow and adjacent Rhododendron thicket. Historical HUH site Yellow 3.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE48,Orobanchaceae,Pedicularis,przewalskii,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,"pink corolla tube, white throat, purple galea.",,X,2:30-3:40,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE49,Orobanchaceae,Pedicularis,siphonantha,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE50,Orobanchaceae,Pedicularis,rhinanthoides,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE51,Orobanchaceae,Pedicularis,cephalantha,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,purple flowers with white throat.,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE52,Orobanchaceae,Pedicularis,kansuensis,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,"light purple flowers, drak purple venation, dark spot on galea (dark colored anthers)",,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE53,Orobanchaceae,Pedicularis,rhynchodonta,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,"light purple corolla, dark purple galea and dark purple venation.",,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE54,Orobanchaceae,Pedicularis,longiflora,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE55,Fabaceae,,,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,Purple flowers darker at base of petals. Some white mottling.,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE56,Fabaceae,,,14,7/9/2018,"29°8'41"" N","100°02'5.2"" E",4658,Xiangcheng,Road from Xiangcheng to Sanduixiang.,Near ridge on N facing slope of scree and Kobresia meadow. Historical HUH site Yellow 29. Eaton site 4 from 2010.,"light yellow flowers. Tip of keel black, lips separate, tips of the sepals purple.",,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE57,Orobanchaceae,Pedicularis,sp.,15,7/9/2018,"29°8'05.6"" N","100°02'36.2"" E",4760,Xiangcheng,,Near ridge on SE face scree slope and alpine meadow.,"Translucent yellow corolla, black anthers visible through galea, dark venation on calyx. ",,,3:50-4:00,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE58 - this is not Saussurea,Asteraceae,Saussurea,sp.,15,7/9/2018,"29°8'05.6"" N","100°02'36.2"" E",4760,Xiangcheng,,Near ridge on SE face scree slope and alpine meadow.,"Calyx dark purple outer, light purple with white mottling on inside. White style, dark purple stigma, dark purple disk flowers. ",,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE59,Orobanchaceae,Pedicularis,sp.,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",Corolla purple with lighter purple throat. ,,,5:15-7:00,1,2,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE60,Orobanchaceae,Pedicularis,confertiflora,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",Corolla purple with whitish throat. ID'd.,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE61,Orobanchaceae,Pedicularis,longiflora,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE62,Orobanchaceae,Pedicularis,rhynchodonta,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.","Light purple lower lips, dark purple galea, some dark purple venation on lower lips and throat. White hairs on calyx. ",,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE63,Orobanchaceae,Pedicularis,przewalskii,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.","Corolla tube white to pink, lower lips bright pink, throat white, galea dark pink.",,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE64,Orobanchaceae,Pedicularis,integrifolia,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",Light purple flowers with white throat and dark purple spot on throat. ,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE65,Orobanchaceae,Pedicularis,lachnoglossa,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE66,Orobanchaceae,Pedicularis,rhodotricha,16,7/9/2018,"29°20'05.5"" N","100°05'57.9"" E",3680,Daocheng,Road from Sanduixiang to Litang.,"Glacial outwash area w/ granite boulders. Wet meadow w/ Rhododendron, Rheum alexandrae, and Ligularia. Eaton site 6 from 2010.",,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE67,Orobanchaceae,Pedicularis,lachnoglossa,17,7/9/2018,"29°23'9"" N","100°08'58"" E",4479,Daocheng,Road from Sanduixiang to Litang.,Boulder strewn meadow. Historical HUH site Yellow 13.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE68,Orobanchaceae,Pedicularis,integrifolia,17,7/9/2018,"29°23'9"" N","100°08'58"" E",4479,Daocheng,Road from Sanduixiang to Litang.,Boulder strewn meadow. Historical HUH site Yellow 13.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE69,Orobanchaceae,Pedicularis,przewalskii,17,7/9/2018,"29°23'9"" N","100°08'58"" E",4479,Daocheng,Road from Sanduixiang to Litang.,Boulder strewn meadow. Historical HUH site Yellow 13.,,,X,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE70,Orobanchaceae,Pedicularis,lachnoglossa,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,10:20-11:15,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE71,Orobanchaceae,Pedicularis,rhinanthoides,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE72,Orobanchaceae,Pedicularis,integrifolia,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE73,Orobanchaceae,Pedicularis,inaequilobata,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,"Lower lips pink, galea yellow with red mottling.",,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE74,Orobanchaceae,Pedicularis,roylei,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,Flowers purple with darker purple venation and dark purple spots on the galea. ID'd.,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE75,Orobanchaceae,Pedicularis,siphonantha,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE76,Orobanchaceae,Pedicularis,anas,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,Flowers deep purple with white throat.,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE77,Fabaceae,?,sp.,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,Deep magenta flowers.,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE78,Fabaceae,?,sp.,18,7/10/2018,"30°00'39.5"" N","100°18'58.2"" E",4301,Litang,On old road above new tunnel near Litang on road towards Yajiang.,Alpine meadow on N facing slope.,Deep purple flowers. ,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE85,Orobanchaceae,Pedicularis,cranolopha var. longicornuta,19,7/10/2018,"30°02'02.5"" N","100°22'29.9"" E",4020,Litang,Near junction of S217 and G318 just outside of Litang at intersection of two valleys and a river.,P. cranolopha admixture zone.,Collected flowers and pollen in alcohol.,,,11:55-12:50,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE79,Orobanchaceae,Pedicularis,densispica,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,"Yellow galea, pink lower lips of corolla. ",,,2:55-3:35,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE80,Orobanchaceae,Pedicularis,cranolopha,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE81,Orobanchaceae,Pedicularis,anas,20,7/10/2018,"30°09'31.5"" N","100°33'57.9"" E",4177,Yajiang,On road from Litang to Yajiang.,Alpine Kobresia meadow.,Deep purple flowers with darker venation.,,,,1,1,1,,,,,,,,,,,,
